#HJD,Tel,Mag,Band
2456155.6407,30,--,RC
2456155.6407,30,8.217,IC
2456155.6407,30,9.993,V
2456155.6407,30,--,B
2456156.6427,30,8.300,RC
2456156.6427,30,8.281,IC
2456156.6427,30,10.009,V
2456156.6427,30,10.339,B
2456158.6253,30,8.284,RC
2456158.6253,30,8.291,IC
2456158.6253,30,9.970,V
2456158.6253,30,10.206,B
2456159.6285,30,8.345,RC
2456159.6285,30,8.369,IC
2456159.6285,30,10.022,V
2456159.6285,30,10.291,B
2456160.6235,30,8.439,RC
2456160.6235,30,8.430,IC
2456160.6235,30,10.088,V
2456160.6235,30,10.309,B
2456160.6481,61,8.462,RC
2456160.6481,61,8.382,IC
2456160.6481,61,10.073,V
2456160.6481,61,10.348,B
2456161.6393,61,8.445,RC
2456161.6393,61,8.376,IC
2456161.6393,61,10.094,V
2456161.6393,61,10.176,B
2456163.6412,30,--,RC
2456163.6412,30,8.504,IC
2456163.6412,30,10.097,V
2456163.6412,30,10.274,B
2456164.6328,30,8.525,RC
2456164.6328,30,8.534,IC
2456164.6328,30,10.152,V
2456164.6328,30,10.361,B
2456164.6389,61,8.516,RC
2456164.6389,61,8.518,IC
2456164.6389,61,10.095,V
2456164.6389,61,10.367,B
2456166.6241,36,8.545,RC
2456166.6241,36,8.609,IC
2456166.6241,36,10.136,V
2456166.6241,36,10.381,B
2456166.6290,61,8.531,RC
2456166.6290,61,8.570,IC
2456166.6290,61,10.109,V
2456166.6290,61,10.394,B
2456167.6214,30,8.572,RC
2456167.6214,30,8.608,IC
2456167.6214,30,10.111,V
2456167.6214,30,10.408,B
2456167.6281,61,8.497,RC
2456167.6281,61,8.522,IC
2456167.6281,61,10.062,V
2456167.6281,61,10.362,B
2456168.6217,30,8.627,RC
2456168.6217,30,8.670,IC
2456168.6217,30,10.180,V
2456168.6217,30,10.417,B
2456175.6122,30,8.762,RC
2456175.6122,30,8.866,IC
2456175.6122,30,10.278,V
2456175.6122,30,10.432,B
2456176.6362,30,8.808,RC
2456176.6362,30,8.926,IC
2456176.6362,30,10.327,V
2456176.6362,30,10.495,B
2456177.6635,61,8.857,RC
2456177.6635,61,8.971,IC
2456177.6635,61,10.319,V
2456177.6635,61,10.457,B
2456178.6140,30,8.846,RC
2456178.6140,30,8.953,IC
2456178.6140,30,10.296,V
2456178.6140,30,10.444,B
2456179.6036,30,8.848,RC
2456179.6036,30,8.974,IC
2456179.6036,30,10.322,V
2456179.6036,30,10.475,B
2456179.6574,61,8.919,RC
2456179.6574,61,9.028,IC
2456179.6574,61,10.333,V
2456179.6574,61,10.489,B
2456181.6172,30,8.923,RC
2456181.6172,30,9.103,IC
2456181.6172,30,10.398,V
2456181.6172,30,10.493,B
2456185.6291,30,9.019,RC
2456185.6291,30,9.172,IC
2456185.6291,30,10.453,V
2456185.6291,30,10.540,B
2456188.6073,30,9.044,RC
2456188.6073,30,9.201,IC
2456188.6073,30,10.451,V
2456188.6073,30,10.544,B
2456188.6404,61,8.999,RC
2456188.6404,61,9.181,IC
2456188.6404,61,10.401,V
2456188.6404,61,10.525,B
2456190.6445,30,9.082,RC
2456190.6445,30,9.241,IC
2456190.6445,30,10.483,V
2456190.6445,30,10.633,B
2456195.5881,30,9.162,RC
2456195.5881,30,9.293,IC
2456195.5881,30,10.505,V
2456195.5881,30,10.594,B
2456195.6319,61,9.140,RC
2456195.6319,61,9.349,IC
2456195.6319,61,10.530,V
2456195.6319,61,10.595,B
2456198.5828,30,9.188,RC
2456198.5828,30,9.385,IC
2456198.5828,30,10.570,V
2456198.5828,30,10.656,B
2456203.6087,61,9.300,RC
2456203.6087,61,9.532,IC
2456203.6087,61,10.636,V
2456203.6087,61,10.682,B
2456208.5660,30,9.417,RC
2456208.5660,30,9.609,IC
2456208.5660,30,10.747,V
2456208.5660,30,10.735,B
2456208.5776,61,9.402,RC
2456208.5776,61,9.613,IC
2456208.5776,61,10.712,V
2456208.5776,61,10.740,B
2456217.6455,61,9.634,RC
2456217.6455,61,9.848,IC
2456217.6455,61,10.887,V
2456217.6455,61,10.919,B
2456219.6460,30,9.693,RC
2456219.6460,30,9.916,IC
2456219.6460,30,10.978,V
2456219.6460,30,10.932,B
2456221.5624,30,9.710,RC
2456221.5624,30,9.886,IC
2456221.5624,30,10.959,V
2456221.5624,30,10.943,B
2456221.6387,61,9.673,RC
2456221.6387,61,9.866,IC
2456221.6387,61,10.877,V
2456221.6387,61,10.913,B
2456224.6225,30,9.707,RC
2456224.6225,30,9.871,IC
2456224.6225,30,10.911,V
2456224.6225,30,10.908,B
2456230.4697,30,9.875,RC
2456230.4697,30,10.046,IC
2456230.4697,30,11.002,V
2456230.4697,30,11.041,B
2456237.5008,30,10.035,RC
2456237.5008,30,10.216,IC
2456237.5008,30,11.106,V
2456237.5008,30,11.095,B
2456239.7161,61,10.062,RC
2456239.7161,61,10.257,IC
2456239.7161,61,11.119,V
2456239.7161,61,11.097,B
2456247.6444,30,10.186,RC
2456247.6444,30,10.335,IC
2456247.6444,30,11.152,V
2456247.6444,30,11.149,B
2456248.4622,61,10.186,RC
2456248.4622,61,10.385,IC
2456248.4622,61,11.156,V
2456248.4622,61,11.170,B
2456251.7104,30,10.282,RC
2456251.7104,30,10.445,IC
2456251.7104,30,11.228,V
2456251.7104,30,11.176,B
2456253.4268,30,10.307,RC
2456253.4268,30,10.469,IC
2456253.4268,30,11.240,V
2456253.4268,30,11.208,B
2456256.7257,30,10.351,RC
2456256.7257,30,10.534,IC
2456256.7257,30,11.286,V
2456256.7257,30,11.199,B
2456264.4491,30,10.504,RC
2456264.4491,30,10.621,IC
2456264.4491,30,11.305,V
2456264.4491,30,11.317,B
2456264.6907,30,10.495,RC
2456264.6907,30,10.608,IC
2456264.6907,30,11.300,V
2456264.6907,30,11.307,B
2456265.3794,30,10.511,RC
2456265.3794,30,10.672,IC
2456265.3794,30,11.324,V
2456265.3794,30,11.303,B
2456267.5269,61,10.602,RC
2456267.5269,61,10.758,IC
2456267.5269,61,11.383,V
2456267.5269,61,11.381,B
2456268.3786,30,10.583,RC
2456268.3786,30,10.718,IC
2456268.3786,30,11.374,V
2456268.3786,30,11.350,B
2456270.4440,30,10.626,RC
2456270.4440,30,10.734,IC
2456270.4440,30,11.354,V
2456270.4440,30,11.385,B
2456273.7129,61,10.660,RC
2456273.7129,61,10.812,IC
2456273.7129,61,11.416,V
2456273.7129,61,11.387,B
2456274.4883,30,10.687,RC
2456274.4883,30,10.798,IC
2456274.4883,30,11.388,V
2456274.4883,30,11.435,B
2456274.6304,61,10.707,RC
2456274.6304,61,10.855,IC
2456274.6304,61,11.427,V
2456274.6304,61,11.447,B
2456278.4119,61,10.786,RC
2456278.4119,61,10.906,IC
2456278.4119,61,11.438,V
2456278.4119,61,11.461,B
2456280.4476,30,10.832,RC
2456280.4476,30,10.917,IC
2456280.4476,30,11.454,V
2456280.4476,30,11.476,B
2456281.4742,30,10.891,RC
2456281.4742,30,10.994,IC
2456281.4742,30,11.488,V
2456281.4742,30,11.500,B
2456281.6380,61,10.826,RC
2456281.6380,61,10.936,IC
2456281.6380,61,11.442,V
2456281.6380,61,11.450,B
2456283.5159,30,10.928,RC
2456283.5159,30,11.023,IC
2456283.5159,30,11.505,V
2456283.5159,30,11.496,B
2456288.3965,30,10.976,RC
2456288.3965,30,11.042,IC
2456288.3965,30,11.505,V
2456288.3965,30,11.523,B
2456288.4285,61,10.975,RC
2456288.4285,61,11.059,IC
2456288.4285,61,11.495,V
2456288.4285,61,11.535,B
2456291.4593,30,11.062,RC
2456291.4593,30,11.094,IC
2456291.4593,30,11.561,V
2456291.4593,30,11.582,B
2456293.3691,30,11.063,RC
2456293.3691,30,11.127,IC
2456293.3691,30,11.561,V
2456293.3691,30,11.577,B
2456296.5419,30,11.154,RC
2456296.5419,30,11.240,IC
2456296.5419,30,11.627,V
2456296.5419,30,11.648,B
2456298.4547,30,11.137,RC
2456298.4547,30,11.167,IC
2456298.4547,30,11.581,V
2456298.4547,30,11.646,B
2456299.4825,30,11.212,RC
2456299.4825,30,11.277,IC
2456299.4825,30,11.660,V
2456299.4825,30,11.696,B
2456300.4481,30,11.195,RC
2456300.4481,30,11.233,IC
2456300.4481,30,11.619,V
2456300.4481,30,11.675,B
2456304.5081,30,11.307,RC
2456304.5081,30,11.363,IC
2456304.5081,30,11.708,V
2456304.5081,30,11.771,B
2456311.3110,30,--,RC
2456311.3110,30,11.438,IC
2456311.3110,30,11.761,V
2456311.3110,30,--,B
2456315.4967,30,11.474,RC
2456315.4967,30,11.515,IC
2456315.4967,30,11.817,V
2456315.4967,30,11.925,B
2456315.5033,30,--,RC
2456315.5033,30,11.484,IC
2456315.5033,30,11.808,V
2456315.5033,30,--,B
2456315.5355,30,--,RC
2456315.5355,30,11.456,IC
2456315.5355,30,11.793,V
2456315.5355,30,--,B
2456323.3180,30,--,RC
2456323.3180,30,11.583,IC
2456323.3180,30,11.868,V
2456323.3180,30,--,B
2456323.3270,36,--,RC
2456323.3270,36,--,IC
2456323.3270,36,11.873,V
2456323.3270,36,12.039,B
2456324.2960,30,--,RC
2456324.2960,30,11.652,IC
2456324.2960,30,11.906,V
2456324.2960,30,--,B
2456324.3910,61,--,RC
2456324.3910,61,11.611,IC
2456324.3910,61,11.858,V
2456324.3910,61,--,B
2456324.4000,36,--,RC
2456324.4000,36,--,IC
2456324.4000,36,11.890,V
2456324.4000,36,12.058,B
2456327.3020,36,--,RC
2456327.3020,36,--,IC
2456327.3020,36,11.946,V
2456327.3020,36,12.134,B
2456327.3180,30,--,RC
2456327.3180,30,11.734,IC
2456327.3180,30,11.945,V
2456327.3180,30,--,B
2456327.3730,61,--,RC
2456327.3730,61,11.692,IC
2456327.3730,61,11.890,V
2456327.3730,61,--,B
2456328.3820,61,--,RC
2456328.3820,61,11.762,IC
2456328.3820,61,11.938,V
2456328.3820,61,--,B
2456328.3890,36,--,RC
2456328.3890,36,--,IC
2456328.3890,36,11.955,V
2456328.3890,36,12.154,B
2456330.3968,61,11.732,RC
2456330.3968,61,11.767,IC
2456330.3968,61,11.958,V
2456330.3968,61,12.226,B
2456331.3520,36,--,RC
2456331.3520,36,--,IC
2456331.3520,36,11.992,V
2456331.3520,36,12.245,B
2456331.3620,30,--,RC
2456331.3620,30,11.809,IC
2456331.3620,30,11.997,V
2456331.3620,30,--,B
2456332.3470,36,--,RC
2456332.3470,36,--,IC
2456332.3470,36,12.039,V
2456332.3470,36,12.296,B
2456332.4840,61,--,RC
2456332.4840,61,11.838,IC
2456332.4840,61,12.011,V
2456332.4840,61,--,B
2456333.4100,36,--,RC
2456333.4100,36,--,IC
2456333.4100,36,12.073,V
2456333.4100,36,12.337,B
2456333.4177,30,11.896,RC
2456333.4177,30,11.918,IC
2456333.4177,30,12.071,V
2456333.4177,30,12.371,B
2456334.2927,61,11.918,RC
2456334.2927,61,11.968,IC
2456334.2927,61,12.093,V
2456334.2927,61,12.401,B
2456334.3480,61,--,RC
2456334.3480,61,11.972,IC
2456334.3480,61,12.098,V
2456334.3480,61,--,B
2456338.2539,30,11.987,RC
2456338.2539,30,12.029,IC
2456338.2539,30,12.133,V
2456338.2539,30,12.474,B
2456338.4033,61,11.966,RC
2456338.4033,61,11.982,IC
2456338.4033,61,12.138,V
2456338.4033,61,12.459,B
2456342.2816,30,12.070,RC
2456342.2816,30,12.079,IC
2456342.2816,30,12.182,V
2456342.2816,30,12.538,B
2456342.2981,61,12.066,RC
2456342.2981,61,12.097,IC
2456342.2981,61,12.165,V
2456342.2981,61,12.532,B
2456343.3903,30,12.064,RC
2456343.3903,30,12.066,IC
2456343.3903,30,12.179,V
2456343.3903,30,12.562,B
2456349.3244,30,12.158,RC
2456349.3244,30,12.173,IC
2456349.3244,30,12.249,V
2456349.3244,30,12.659,B
2456352.4366,30,12.241,RC
2456352.4366,30,12.266,IC
2456352.4366,30,12.314,V
